55301574566225830.13400,0.05700,0.06700,-0.10800,0.03600,-1.62000,0.00000,0.00000,0.00000,0.00000,0.05461,-0.06227,0.00000,0.06227,0.05461,0.99990,0.00400,-0.01336,-0.00408,0.99998,-0.00565,0.01334,0.00570,0.99989,0.00388,-0.00579,-0.01336,-0.79917
55301574566225830.13400,0.05700,0.06700,-0.10800,0.03600,-1.62000,0.00000,0.00000,0.00000,0.00000,0.05461,-0.06227,0.00000,0.06227,0.05461,0.99990,0.00400,-0.01336,-0.00408,0.99998,-0.00565,0.01334,0.00570,0.99989,0.00388,-0.00579,-0.01336,-0.79917
55301575226257380.04800,0.01000,0.04800,-0.10800,0.03600,-1.62000,0.00000,0.00000,0.00000,0.00000,0.04938,-0.05584,0.00000,0.05584,0.04938,0.99999,-0.00043,-0.00475,0.00043,1.00000,-0.00105,0.00475,0.00105,0.99999,-0.00045,-0.00104,-0.00475,0.27268
55301575226257380.04800,0.01000,0.04800,-0.10800,0.03600,-1.62000,0.00000,0.00000,0.00000,0.00000,0.04938,-0.05584,0.00000,0.05584,0.04938,0.99999,-0.00043,-0.00475,0.00043,1.00000,-0.00105,0.00475,0.00105,0.99999,-0.00045,-0.00104,-0.00475,0.27268
55301575886314290.04800,0.05700,0.12400,-0.21600,0.14400,-1.51200,0.00000,0.00000,0.00000,0.00000,0.04883,-0.05516,0.00000,0.05516,0.04883,0.99998,-0.00381,-0.00455,0.00379,0.99998,-0.00589,0.00457,0.00587,0.99997,-0.00394,-0.00579,-0.00455,0.33920
55301575886314290.04800,0.05700,0.12400,-0.21600,0.14400,-1.51200,0.00000,0.00000,0.00000,0.00000,0.04883,-0.05516,0.00000,0.05516,0.04883,0.99998,-0.00381,-0.00455,0.00379,0.99998,-0.00589,0.00457,0.00587,0.99997,-0.00394,-0.00579,-0.00455,0.33920
55301576546223520.04800,0.03800,-0.03800,-0.21600,0.14400,-1.51200,0.00000,0.00000,0.00000,0.00000,0.04918,-0.05560,0.00000,0.05560,0.04918,0.99997,-0.00541,-0.00498,0.00539,0.99998,-0.00399,0.00501,0.00397,0.99998,-0.00550,-0.00385,-0.00497,0.42104
55301576546223520.04800,0.03800,-0.03800,-0.21600,0.14400,-1.51200,0.00000,0.00000,0.00000,0.00000,0.04918,-0.05560,0.00000,0.05560,0.04918,0.99997,-0.00541,-0.00498,0.00539,0.99998,-0.00399,0.00501,0.00397,0.99998,-0.00550,-0.00385,-0.00497,0.42104
55301577206224300.02900,0.00000,0.12400,-0.21600,0.14400,-1.51200,0.00000,0.00000,0.00000,0.00000,0.04789,-0.05402,0.00000,0.05402,0.04789,0.99996,-0.00874,-0.00269,0.00874,0.99996,-0.00028,0.00269,0.00026,1.00000,-0.00875,-0.00007,-0.00264,0.52339
55301577206224300.02900,0.00000,0.12400,-0.21600,0.14400,-1.51200,0.00000,0.00000,0.00000,0.00000,0.04789,-0.05402,0.00000,0.05402,0.04789,0.99996,-0.00874,-0.00269,0.00874,0.99996,-0.00028,0.00269,0.00026,1.00000,-0.00875,-0.00007,-0.00264,0.52339
55301577750367370.09600,0.08500,0.06700,-0.21600,0.14400,-1.51200,0.00000,0.00000,0.00000,0.00000,0.05185,-0.05886,0.00000,0.05886,0.05185,0.99995,-0.00117,-0.00953,0.00109,0.99996,-0.00865,0.00954,0.00864,0.99992,-0.00136,-0.00861,-0.00953,0.54965
55301577750367370.09600,0.08500,0.06700,-0.21600,0.14400,-1.51200,0.00000,0.00000,0.00000,0.00000,0.05185,-0.05886,0.00000,0.05886,0.05185,0.99995,-0.00117,-0.00953,0.00109,0.99996,-0.00865,0.00954,0.00864,0.99992,-0.00136,-0.00861,-0.00953,0.54965
55301578526463530.00000,0.07600,0.12400,-0.10800,0.18000,-1.40400,0.00000,0.00000,0.00000,0.00000,0.04022,-0.04483,0.00000,0.04483,0.04022,0.99998,-0.00566,0.00028,0.00566,0.99995,-0.00781,-0.00023,0.00782,0.99997,-0.00583,-0.00769,0.00027,0.32264
55301578526463530.00000,0.07600,0.12400,-0.10800,0.18000,-1.40400,0.00000,0.00000,0.00000,0.00000,0.04022,-0.04483,0.00000,0.04483,0.04022,0.99998,-0.00566,0.00028,0.00566,0.99995,-0.00781,-0.00023,0.00782,0.99997,-0.00583,-0.00769,0.00027,0.32264
55301579186305830.04800,0.01000,0.01900,-0.10800,0.18000,-1.36800,0.00000,0.00000,0.00000,0.00000,0.04283,-0.04794,0.00000,0.04794,0.04283,0.99993,-0.01106,-0.00487,0.01106,0.99994,-0.00132,0.00489,0.00126,0.99999,-0.01109,-0.00103,-0.00482,0.69210
55301579186305830.04800,0.01000,0.01900,-0.10800,0.18000,-1.36800,0.00000,0.00000,0.00000,0.00000,0.04283,-0.04794,0.00000,0.04794,0.04283,0.99993,-0.01106,-0.00487,0.01106,0.99994,-0.00132,0.00489,0.00126,0.99999,-0.01109,-0.00103,-0.00482,0.69210
55301579846439680.01000,0.05700,0.03800,-0.07200,0.14400,-1.22400,0.00000,0.00000,0.00000,0.00000,0.03524,-0.03898,0.00000,0.03898,0.03524,0.99999,-0.00475,-0.00093,0.00474,0.99997,-0.00590,0.00096,0.00589,0.99998,-0.00487,-0.00579,-0.00093,0.27695
55301579846439680.01000,0.05700,0.03800,-0.07200,0.14400,-1.22400,0.00000,0.00000,0.00000,0.00000,0.03524,-0.03898,0.00000,0.03898,0.03524,0.99999,-0.00475,-0.00093,0.00474,0.99997,-0.00590,0.00096,0.00589,0.99998,-0.00487,-0.00579,-0.00093,0.27695
